art,t,bpm,s
Miss Monochrome (CV: Horie Yui),Poker Face (TV Size),136,821033
Sangatsu no Phantasia,Pink Lemonade (TV Size),191,1705258
fripSide,Heaven is a Place on Earth,138,35628
Snow Man,Grandeur (TV Size),128,1328147
Katate*SIZE,Departure (TV Size),156,40820
Dreamcatcher,Lullaby,88,605622
Meychan,Koakuma datte Kamawanai!,177,1570458
REOL,Give me a break Stop now,128,497483
Ito Kanako,Sky of Twilight,216,1570424
Carach Angren,Once upon a Time... / There's No Place Like Home,210,607414
"Tanaka Chiemi, Murakami Natsumi, Sakura Ayane, Han Megumi",For 4 Forever,180,1887753
USAO,USAO ULTIMATE HYPER MEGA MIX,200,830666
Lucie Stella Ecarlate (CV: Akabane Kyouko),X-ray,165,2029622
Duca,Kioku x Hajimari,185,1698919
Komiya Mao,Midnight Driving,134,35906
HMNK feat. TechniKen,Greatest Memories,137,909363
Ouse Akira,Hiyoku no Sakura,178,1298109
Kato Megumi (CV: Yasuno Kiyono),M flat,160,2153673
YurryCanon,Yueni,195,1688064
Yellow Zebra,Tsuki no Ritsudou ~ Rhythm of the moon~,146,53928
zakuro,Tasogare no Odoriba,120,1800829
Shoujozenjidou,Ruten,200,1252829
4Minute,WHY,130,28750
AAA,Ashita no Hikari (TV Size),120,1148453
"ChiliChill feat. Hua Ling, Miao*Jiang, Yan Ning ccccc, kinsen",Let the Wind Tell You,120,1384241
kessoku band,Love Song ga Utaenai,185,1910004
mafumafu,Kakushigoto,200,770023
JIN feat. MARiA from GARNiDELiA,daze (TV Size),198,2150332
At the Garret,Hishou,162,1870348
Sadohara Kaori,To Be Continued? (TV Size),125,81223
Xiao Qiong (CV: KSP),Xia Yi Zhan. Yu Ni,136,344228
Hinata Ichigo,Nyanhou no Outa,143,150565
"Cocoa, Chino, Rize, Chiya, Syaro, Maya, Megu",Honjitsu wa Makoto ni Rarirurein,183,467458
Shintani Ryoko,Wonderful World,232,50371
Kumada Akane,Kokoro Hayaru (TV Size),182,1557045
Shika-bu,Shikairo Days,183,2211791
Mike Morasky,Science is Fun,101.8,31071
Nana,Koisuru Chikara (Short ver.),176,15643
ONIMAI SISTERS,Himegoto*Crisisters (TV Size),183,1909723
Nothing's Carved In Stone,Out of Control (TV Size),140,73256
Xiao Pan Pan & Xiao Feng Feng,Xue Mao Jiao,115,1064066
Taiko no Tatsujin,Mekadesu.,320,10568
fripSide,floral summer,146,2091912
Marie,Koko ni Iru yo,180,1711836
T & Sugah,Days Away (feat. Voicians),174,1519300
Napoleon,Dystopia,200,988626
JENNY ROM vs ZIPPERS,WAKA LAKA,170,153
CLC,No oh oh,93,473049
Totaka Kazumi,Jun Kissa Hato no Su,65,1044129
Nakazawa Minori (CV: Hanazawa Kana),Minori no Zokkon Mirai Yohou (TV Size),188,1423080
Katakiri Rekka,Tamayura (Short Ver.),160,46282
Jin Line ft. Alex Voloshyna,Ya skuchayu,125,259637
DIALOGUE+,Omoide Shiritori (TV Size),172,1639249
Karol Sevilla,Alas (TV Size),153,1915826
The Prodigy,Omen,140,11638
FLOW,Steppin' out -TV Size-,140,537321
PORNOFIL'MY,Kto vse eti lyudi?,186,1309355
Yousei Teikoku,Zetsu,260,1262446
Joji,CAN'T GET OVER YOU (feat. Clams Casino),130,1448700
Pinoki remix,Ano Natsu e,80,440768
100 gecs,Torture Me (feat. Skrillex),157,1900485
Masuda Toshio,Osanaki Hi no Nanami,95,320856
The Lonely Island,Shrooms,128,8690
AIR,Alone In Kyoto,90,432249
DJ SHARPNEL,FAKE PROMISE,190.8,1604660
senya,Tsukiwa ni Megurasareta Kioku,150,1382136
Pendulum,Showdown,174,353583
Sakamoto Maaya,Yakudou (Game Ver.),205,1536877
yanaginagi,Usotsuki,186,2012683
Official HIGE DANdism,Pretender,92,1081640
TWICE,CHEER UP (Inst.),173,696037
Pendulum,The Fountain (feat. Steven Wilson),174,1418152
Takagi-san (CV: Rie Takahashi),Deatta Koro no You ni,120,755289
Hareru Hanamaru,STONE OCEAN,180,1757602
Official HIGE DANdism,Laughter,80,1221968
Nanjo Yoshino,Tasogare no Starlight,152,310609
IAMX,Think Of England,145,742442
Perfume,TOKIMEKI LIGHTS,135,905269
Shimotsuki Haruka,FLOWERS,174,196525
Lisa-Rec,Sajin no Kanata He,165,55033
Cascada,Sk8er Boi (Nightcore Mix),180,37648
kors k,Wuv U,173,193852
ZAQ,Minor Piece,146,2147857
"Team ""Hanayamata""",Hana wa Odore ya Irohaniho (TVsize),160,191196
Hatena,Koe? (TV Size),170,1390855
Tenpei Sato,Is It Admiration for Overlord Laharl?,91,9422
CIVILIAN,Shirube,86,1634614
A-ha,Take On Me,84.25,1513
DragonForce,Midnight Madness,200,1136535
Demetori,Higan Kikou ~ View of The River Styx,182,993059
Noah,Immortal saga - Again,205,1573324
REDALiCE,taboo tears you up,180,7224
zts,worldenddominator,142,897884
Ohara Yuiko,Massugu,155,1666449
cast heal,fragments,180,2183856
HOYO-MiX feat. Robin (VO: Chevy),Hope Is the Thing With Feathers,128,2178787
Rohi,"Ichiru no Nozomi yo, Ano Tsuki e Hibike",140,95148
DOES,Donten (TV Size),190,1866550
YURiCa/Hanatan,Romeo to Cinderella,170,1940437
Kawasaki Sakura (CV: Kanno Mai),Mou Ii yo,177,1952405
Kanpyohgo,Tozaseshi Kumo no Kayoiji -Stormy Extended-,172,1783062
NANA,Koisuru Chikara (Speed Up Ver.),205.92,59391
TERRA,Escape to the Sky,190,17748
DJ Earworm,United State of Pop 2009 (Blame It on the Pop),130,1820755
Tomato n' Pine,Nanairo*Namida (TV Size),127,1965618
"ginkiha, TEA",Haruka (Short Ver.),182,1110461
STARTails*,ne! ne! ne!,170,719552
Amane Kanata,Tenshi no agape,172,1721941
Hatsune Miku,Samidare Renka,102,30085
Hyadain,Hyadain no Kakakata * Kataomoi-C (TV Size),180,1741221
FantasticYouth,Unknown Mother-Goose,222,992892
Capcom Sound Team,Chill Man,149.98,19350
Aqua Timez,Saigo made II (TV Size),177,1332480
DJ Mashiro,Prismatic Lollipops,202,1948365
Sakakibara Yui,share the thoughts (OP size),165,156688
"Fear, and Loathing in Las Vegas",Scream Hard as You Can,198,89979
Suzaki Aya,Dramatic Market Ride (TV Size),171,73844
Tadokoro Azusa,1HOPE SNIPER,274,824132
isekaijoucho,Kasumi ga Tsuite Kuru,132,1698171
Linkin Park,Castle of Glass,216,140152
Kotera Kanako,Ashita e no Kodou,173,223000
StylipS,Choose me Darling (TV Size),150,83699
PUP,Closure,172,1175467
Masayoshi Minoshima ft. nomico,Bad Apple!!,138,13177
Ayalis,Ai o Chikaishi Hime Kazari,210,432413
dark cat,BANANA STREET (Cut Ver.),154,1862663
Ata,Euphoria,190,890438
Renard,Because Maybe! pt. 1,220,450709
Chihara Minori,Aitakatta Sora,160,2206545
Memme,%S(M),155,296393
tsunamix,new moon illusion,160,2124429
Killswitch Engage,My Curse,174,596106
Linkin Park,Heavy Is The Crown,128,2254712
Vicetone,What I've Waited For (feat. D. Brown),128,264467
Ogura Yui,Zutto Futari de,153,920826
Stan SB,Anyone Out There,175,2125132
Duca,Answer,183,1297701
Suara,Tenmei no Marionette,190,1312298
Vena Cava,Ohana,188,348279
Mr. Funky,Break!,167,44222
Toyama Nao,Growing (TV Size),157,2175223
dj TAKA,Snow Storm,145,7190
SYNC.ART'S,Splendid Encount -one more encore-,160,27915
merry-san,Venom,152,1073331
Chata,Precious Wing (Short Ver.),160,49463
Hitoshi Sakimoto,Isekai Ivalice,119.5,500371
Niko,Made of Fire,162,10112
SawanoHiroyuki[nZk]:mizuki,&Z (TV size),158,260149
Kagamine Rin,Love is War R184mm remix,184,15584
Tsuki no Tempest,Gekka Hakanabi (TV Size),180,1970773
kanon*kanon,Calendula Requiem -Shiki TV size-,140,157988
Chata,Winter Bells (Short Ver.),180,42695
Hoshimachi Suisei,NEXT COLOR PLANET,132,1245202
Hideyuki Fukasawa,Theme of Nova,152,53682
MIYAVI,Butterfly,120,1409123
Kagamine Len,IkeLenka,180,22455
t+pazolite with siromaru,Chambarising,160,1969979
A3ders!,Circle of Seasons (TV Size),168,1277743
SAKURA*TRICK,Won(*3*)Chu KissMe! (TV Size),153,143362
Aqours,DREAMY COLOR,190,1617690
Rin,Muenzuka set 09 ~ Hana wa Gensou no Mama ni,100,1270291
heidi.,Loop,136,99418
Kujira,Kinmokusei (feat. Ado),123,1435450
Yousei Teikoku,Kanzen Houkai Paradox,220,2239941
nouns,dogs,100,1885919
Hanekawa Tsubasa (CV: Horie Yui),chocolate insomnia,162,1790424
eyelis,Kizuna ni Nosete,136,1325736
Ave Mujica,Mas?uerade Rhapsody Re?uest,190,2080223
fripSide,Assemble*LOVEsemble,155,24627
Faylan,Path to glory,192,2173294
asmi feat. Chinozo,Dokimeki Diary,185,2036318
MY FIRST STORY,START OVER,210,751708
Kareki Kashiwagi,Hetero,202,2067930
Nico Nico Douga,"Election Angel, Uh!",140,19312
ROOKiEZ is PUNK'D,Complication (TV Size),138,1748408
Waki Azumi,Itsuka no Kioku (TV Size),168,2132822
Liverne,Necrofantasia,180,7158
Raimukun,Myths Orbis,210,1889095
Yuuki Aira,Colorless Wind (TV Size),132,12212
Fujita Kotone (CV: Iida Hikaru),Sekaiichi Kawaii Watashi,176,2181276
smileY inc.,Hanayuki (TV Size),146,1055752
NakamuraEmi,Kakatte Koi yo (TV Size),113,914239
Chris Brown,Forever,120,24517
Momohara Natsuki (CV: Murakawa Rie),Aozora ni Kamihikouki (TV Size),145,2000369
fripSide,final phase (TV Size),149,1106520
ARForest,Colors,180,1397731
After the Rain,Anti-Clockwise (TV Size),186,638341
Charlie Puth,Light Switch,184,1765296
Inori Minase,Well Wishing Word,172,2056749
sokoninaru,Lament moment,225,1288090
"Touyama Nao, Hanazawa Kana, Komatsu Mikako, Asumi Kana",Souzou Diary,181,217546
Ouse Akira,Hiyoku no Sakura (Cut Ver.),178,1656553
Sheryl Nome starring May'n,Universal Bunny,157,21292
Hommarju feat. Latte,masterpiece,180,14592
PELICAN FANCLUB,Desire (TV Size),190,1281342
azusa,Check my soul (TV Size),153,43038
Igorrr,Dentist,90,488164
BoA,MASAYUME CHASING (Speed Up Ver.),150.9,214667
Naruse Jun(CV.Minase Inori),Watashi no Koe,104,562890
ILLENIUM & Emma Grace,Brave Soul,90,1571811
Spira Spica,Twinkle (TV Size),178,1161262
R3 Music Box,Byakumu no Mayu ~Ricordando il passato~,148,593228
Pogo,Data & Picard,120,531911
Kalafina,to the beginning (TV Size),153,48408
MAN WITH A MISSION,When My Devil Rises,214,2050003
Inoue Bona,Usouso Doki,160,1546475
yanaginagi,Vidro Moyou (TV Size),131,44540
Reku Mochizuki,Yorixiro,185,1438879
Hatsune Miku,Yume to Hazakura,156,35028
Perfume,NIGHT FLIGHT,145,11122
"Kamui Gakupo, KAITO, Kagamine Len",Immoral Memory~The Lost Memory~,230,44898
All Time Low,"Merry Christmas, Kiss My Ass",128,533683
Hyadain,Rap de Chocobo,170,1125851
Doma Umaru (CV: Tanaka Aimi),Kakushinteki*Metamaruphose! (TV Size),278,1291847
Lenny code fiction,Make my story (TV Size),132,814994
Megurine Luka,Leia,190,29064
Rin Kagamine,Regret Message,115,7463
Blackout Band,Video Games,132,9811
Joe Hisaishi,Umi no Mieru Machi,83,411269
Mona Mor,Yume o Kanaete Doraemon,123,246990
Harumaki Gohan feat. Hatsune Miku,Melty Land Nightmare,140,1029792
in love with a ghost,interdimensional portal leading to a cute place feat. snail's house,121.25,1729796
STEREO 2.0,Minden Mas,126,223454
Lulickma & Loctek,21st,200,1525478
KOTOKO,Fatally,140,1897287
seatrus,Stargaze Station,225,1585728
Kobayakawa Sae (CV: Tachibana Rika),HANAKANZASHI,125,639353
kors k feat. Rie,Rising in the Sun(original mix),172,26742
Apink,Mr. Chu,120,359369
T-ara,Bo Peep Bo Peep,128,81441
"Hello, Happy World!",fantastic dreamer,185,955896
DECO*27,Yowamushi Montblanc x Tsumi to Batsu,120,106407
USAO,Night sky,192,422045
Markus Schukowski,What It Feels Like (Zardonic Remix),175,2052103
capsule feat. EeL,Plastic Girl,180,1907402
Nanamori Chu * Goraku Bu,Yuriyurarararayuruyuri Daijiken (TV Size),175,32738
Akatin,sugoi Fukkireta wwwww,150,324792
HyuN feat. LyuU,Cross Over,200,1063700
Kudou Chitose,I beg you,128,1193273
Takigawa Alisa,Sayonara no Yukue ~TV size~,170,406372
solfa feat.Chata,I will,86,511637
KOTOKO,"Shichiten Hakki, Shijou Shugi!",176,13042
Sonoda Umi (CV: Mimori Suzuko),Yuuki no Reason,180,131687
,FamilyMart Jingle,158,9400
ChouCho,Yasashisa no Riyuu,177,1008974
Mr.Kitty,I Hope You Fall Apart,142,828772
omniboi,BonBon,140,505729
Isekai Joucho,Kyoukankaku Obake,184,1551060
tieff,Sunflower,116,949297
AKINO with bless4,EXTRA MAGIC HOUR,180,956309
WANIMA,GONG,195,1099681
vally.exe,oyasumination,190,1746568
pre-holder,Houmurisaru Hana,136,360144
Go Ichinose,Ooame,127.45,660933
Larval Stage Planning,Hanabira to Ribbon,134,180633
ICHIKO,I'LL BE THERE FOR YOU,170,1977607
Tomggg,Farmer's Market,104,374365
Shoujo,Reminiscing,175,852003
Ax feat. Natsukawa Yoko,Sakimori Renka,170,998415
Imy,Ray of hope,185,1227702
M2U,Promise (feat. Sherie),200,1005492
Duca,Shiawase no Otoshimono,163,766345
MYTH & ROID,L.L.L. (TV Size),208,1361680
Sharlo,Authentic symphony,175,232256
Mayano Top Gun (CV: Hoshitani Mio),Tokimeki Scramble (Cut Ver.),168,1904755
Aiobahn,Koko ni Iru (feat. rionos),126,1129013
MAISONdes,"I Wanna Muchu feat. asmi, Three (TV Size)",158,2057129
Official HIGE DANdism,Yesterday (Movie ver.),130,1724021
riya (eufonius) / Ceui,Chroma (Game Ver.),144,705434
BLANKFIELD,Falling Falls,260,1120635
"Morishita Chisaki, Tanaka Minami, Kito Akari, Kurose Yuuko",Hitoribocchi no Monologue (TV Size),256,952742
jippusu,Mushikui Saikede Rhythm,210,87547
Koji Kondo,Dragon Roost Island,168.9,8432
Araragi Tsukihi(Iguchi Yuka),Platinum Disco,117,547494
The Weeknd,The Hills,56.5,863359
Jordin Sparks,Battlefield,145,11855
Salem Al Fakir,Split My Personality (Bassflow Remix),135,33840
Nightwish,She Is My Sin,153.03,92347
LiLA'c Records,Maze of Vapor (Brutal Core mix),185,1752523
"3L, mariapolo",WARNING!,164,282487
Hatsuki Yura,HAMELN,130,34061
fiend,Morrissey,170,1211976
Uchida Maaya,Resonant Heart (TV Size),185,1649178
Pastel*Palettes,Attsu Atsu Tokonatsu Love*Summer!,172,2181463
PENGUIN RESEARCH,Fire and Fear (TV Size),195,2232753
Luck Life,Kaze ga Fuku Machi (TV Size),198,1938781
HyuN feat. Ms. Valentine,CROSS FATE,190,937247
nonoc,Rakuen (TV Size),186.5,2054615
Tenjin Kotone,Darling Dance,153,1270156
THE ORAL CIGARETTES,Monster Effect,186,1605898
PHAZE,Phantom Chain,153,2105111
Maeda Jun x yanaginagi,Kimi to Iu Shinwa,176,1288146
Aimer,twoface,183,1968432
T-ara,Cry Cry,115,664712
ClariS,Alethea (TV Size),164,1431888
Liz Triangle,Yoru no Circus,192,932457
SawanoHiroyuki[nZk]:Laco,Hands Up to the Sky (TV Size),98,1466007
Baracuda feat. Groove Coverage,La Di Da (Nightcore Mix),168,44180
lapix,Nexta,160,1050635
ATSUMI UEDA,Harmonia,177,542868
mikitoP,Sarishinohara,135,60953
LhoU,Renaissance,130,506863
Kanon Wakeshima,Love your enemies,185,419765
SCREEN mode,Naked Dive (TV Ver.),158,401790
MARUV,Siren Song,115,1085819
SunSet Swish,Mosaic Kakera (TV Size),130,931912
Joey Montana,Picky,93.24,441733
ZUN,The Road of the Apotropaic God ~ Dark Road,156,58716
siinamota feat. Kagamine Rin,Q,240,2084482
Akatsuki Records,Trance Dance Anarchy,195,1056140
MY FIRST STORY,Fukagyaku Replace,200,1198125
Shimotsuki Haruka,Kibou no Sora,169,109900
Opeth,Ghost of Perdition,188,988848
Kinoshita Ringo (CV: Tamura Yukari) & Nakazawa Minori (CV: Hanazawa Kana),Mogitate <3 Fruit Girls,175,1714748
monotone,Totsugeki! Glass no Kneesocks Hime!,185,54308
Fujikawa Chiai,1000-nen Ai (TV Size),190,2191137
Criticrista,Kyu Kyu Kyun Heart Shaker (TV Size),200,1449815
Ayane,Kamisama no Syndrome (TV Size),102,1925014
GARNiDELiA,ambiguous (TV Size),178,1137074
Mitsuki Kotono,Fuyu ni Saku Hana,170,242600
Molly,Beneath The Lights (Darren Styles Remix),170,355065
Ogura Yui,Honey Come!! (TV Size),184,2211981
College Humour Originals,We Didn't Start the Flame War,145.1,6537
Secret feat. Baek Chan,Do Better!,135,25556
Ogura Yui,winter tale,184,2095365
Don Omar ft. Lucenzo,Danza Kuduro,130,29244
IU,Good Day,128,45404
fumika,Aoi Tori (TV Size),156,1197443
AOP,Maboroshi Wink (TV Version),141,717608
Lerry Muller feat. Anetta Grant,Dreaming (Kristian Remix),140,45042
KANA-BOON,Star Marker (TV Size),134,1300115
Scatman John,Scatman (ski-ba-bop-ba-dop-bop),136.02,1683963
eufonius,Hiyoku no Hane (TV Size),148,74504
Apink,LUV,104,305371
EastNewSound,Hana wa Gensou no Hate ni,130,20114
B.o.B feat. Hayley Williams,Airplanes,93,30548
Vickeblanka,Black Catcher (TV Size),200,1094672
FELT,Lies in Reality,204,568845
Sasaki Sayaka,World End,150,50393
MOMOIRO CLOVER,Pinky Jones,180,1571154
FELT,Future Will Lead & The Ray of Light,200,692522
Muzzy,Lost Forever,175,600276
Crywolf,Eyes Half Closed,135,2206521
himmeltengoku,Whisper of Rose,175,173614
Natori Sana,Zombies,158,2080180
SYNC.ART'S,Road to Departure,160,161887
Hiromi Satou,Kowarekake no Orgol (Full Ver.),130,18421
nano.RIPE,Kodama Kotodama,120,331228
Sonoda Umi (CV: Mimori Suzuko),Watashitachi wa Mirai no Hana,183,2230216
Loos,Love * Beam,178,30730
iann dior,Sick and Tired feat. Machine Gun Kelly & Travis Barker,145,1239705
The Dirty Dawg,T.D.D LEGEND,100,937411
Duca,marry me ?,160,200169
YOASOBI,Ano Yume o Nazotte,180,1213174
Backstreet Boys,I Want It That Way,99,1064264
Buono!,Lotta Love!,176,8859
MFS,BOW,150,1873300
Yousei Teikoku,filament (TV Size),85,1812737
Co shu Nie,Lamp,180,1018766
Circus-P,iNSaNiTY,125,100016
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),150,1539995
sky_delta,Kreuz,183,347551
Duca,Dreamer Short ver.,166,238669
KOTOKO,unfinished (TV Size),146,63564
Iuri Rodrigues,Junkyard,125,603769
Pixel,Running Hell,166.67,5475
Len,U.N. Owen was her?,180,22699
Nekomura Iroha,Neko Neko Super Fever Night,165,26186
Nanahira,Petals,192,592381
Hiroki Kikuta,Nuclear Fusion,156.62,11513
Zris feat. Kri,Can't it be true,134,1859815
World of Wandag,HuniePop Theme,124,358450
Izumi Hashima(CV.Chinatsu Akasaki),365 Shoku Palette,178,620574
Roselia,Break your desire,205,1772954
Kicco,Amazing sky,150,782115
Sengoku Nadeko (CV: Hanazawa Kana),Mousou Express (TV size),101,696607
Megpoid GUMI,Nisemono no Uta,142,45843
"Fukuhara Kaori, Yuuki Aoi, Uchiyama Yumi & Kotobuki Minako",Harukaze no Kagaku,158,115748
Teminite,Step Into The Light (feat. Jonah Hitchens),110,1089017
M2U,Lunatic Sky,160,431971
89ers,Go Go Go Go! (Radio Edit) (Nightcore & Cut Ver.),168.8,1775229
Yoko Ishida,paraparaMAX I,314,972
Feryquitous,Scardi,190,1887079
Cecile Corbel,Arrietty's Song,129,44322
Amatsuki,Kimi no Shiranai Monogatari,165,1449200
Nightwish,She Is My Sin,153.02,233875
ITO KASHITARO,Boku no Hosomichi,150,394691
Inori Minase,Koiseyo Otome,174,1935510
Halozy,Masshiro na Yuki,170,388887
Suzuki Konomi,AVENGE WORLD (TV Size),185,1557051
Kageyama Shota,Sentou! Denshousha Higana,179,803934
May'n,graphite/diamond (TV Size),195,1037591
Yuuki Aoi,Platinum,164,83118
senya,Shunkan Everlasting,165,657870
Aimer,Brave Shine (TV size),85.5,300626
Ben Briggs,Fearless Living,100,934415
P4koo,FRAGMENT. (feat. A.Dokuga),220,1290469
Rita,Primary,167,21611
Wanuka,The Fog,155,1843890
Yuuki Aoi,Kuchihige Awa Baloon [Odekake Size],167,992744
A3ders!,Act! Addict! Actors! (TV Size),172,1111424
Aimer,Ref:rain,78,747490
Muse,Resistance,134.98,22877
BUD VIRGIN LOGIC,x Senritsu -Schlehit Melodie-,190,1569807
NicoNicoDouga,Courage to tell a lie,110,46574
The Killers,Mr. Brightside,148,3919
Hatsune Miku,Ievan Polkka,119,1287
Nico Nico Douga,Not Panties Racing,147,21316
Two Door Cinema Club,What You Know,138.98,31517
Tomohito Nishiura,Wandering Way,165,22263
senya,Shinra-Banshou ni Furete,155,1271180
Rita,dorchadas,120,1673436
Hitotsuyanagi-tai,GROWING*,190,1945009
HujuniseikouyuuP,MISTAKE,205,105245
Nekomata Master feat. Misawa Aki,chrono diver -fragment-,185,349291
Lacrimosa,Lichtgestalt,125,7922
V.W.P,Reincarnation,186,1857779
Coldplay,Charlie Brown,138,50831
Saitou Chiwa,Futakotome,132,56362
IDIOTAPE,"Qilin's Prance (Czaer, Hwan, Link, Brand_color Remix)",154,1596468
Aiobahn feat. KOTOKO,INTERNET YAMERO,185,2045169
Yorushika,Toumin,180,1913188
Eve,We're Still Underground,148,1059169
Orange Lounge,MOBO * MOGA,172,1739817
Foster the People,I Would Do Anything For You,128,36593
Kitamura Eri,Friend,185,2217748
Dark PHOENiX,The Dark Side of Fate,145,100997
Jeff Williams,When It Falls (feat. Casey Lee Williams),231,376314
League of Legends,Hanami ON THE RIFT (PV ver.),172,589691
AK & Veela,Digital Angel,121,645515
moumoon,Afureru Hikari (TV Size),162,845117
Maaya Sakamoto,Shiawase ni Tsuite Watashi ga Shitteiru Itsutsu no Houhou,165,582063
"Kanna Nakamura, Hitomi Sasaki, Tokui Sora",Glorious Moment! (TV Size),198,2025802
Ikimonogakari,HANABI (TV Size),167,1462353
Ken Nakagawa,Cyclone,160,17373
NieN,Rage Of Demon,196,22229
Hatsune Miku,Parade of Liars,200,21926
Rita,Little Busters! ~TV animation ver.~ (TV Size),151,1292131
DeviceHigh,Innocent Blue (TV Size),156,26544
TWO-FORMULA,Taiyou to Tsuki no CROSS (TV Size),202,246852
hitorie,one-Me two-Hearts (TV Size),191,1179039
Iwami Takashi,Noraneko no Shinryaku (Cut Ver.),250,1237488
CON,Cruel Clocks,220,76882
Rank 1,Airwave (Aaron Static Remix),130,321556
BIGBANG,Ain't No Fun,124,55622
Okui Masami,FISSION (Short Ver.),173,82203
Hisaka Yoko,Listen!! (TV Size),175,14701
Raito,Troublesome Visitor,165,82599
Nekomanma Team!,Koiuta Shippuu! Karuta Queen Iroha,168,1700477
Dragon Ball Z,Cha-la Head-Cha-la,154.6,1806
MIYAVI vs. KenKen,Flashback (TV Size),140,745270
UVERworld,Itteki no Eikyou (short ver.),190,568110
Hana,Eden's Song,162,1610217
r-906 feat. Otomachi Una,Supernova,196,1895206
XeoN,Xeus,148,529212
ETIA.,Kagami no Mary Sue,180,500743
Perfume,Dream Fighter,135,910680
xi,FREEDOM DiVE,222.22,1667560
Chitose Sara,Arcadia,178,2103242
ave;new feat. Sakura Saori,Pure My Voices,133,441185
